ts_art,exchange,ask,bid,edad_seg
2026-09-18 00:09:14,astropay,1630.2486,1562.5,37
2026-09-18 00:09:14,belo,1605.0,1585.0,37
2026-09-18 00:09:14,binance,1596.1962,1577.7668,48
2026-09-18 00:09:14,binancep2p,1594.68,1587.61,11
2026-09-18 00:09:14,bingxp2p,1596.0,1591.52,7
2026-09-18 00:09:14,bitgetp2p,1601.9,1591.42,16
2026-09-18 00:09:14,bitsoalpha,1602.4574,1582.1896,46
2026-09-18 00:09:14,buenbit,1622.0704,1582.426,0
2026-09-18 00:09:14,bybit,1614.7057,1570.1293,23
2026-09-18 00:09:14,bybitp2p,1593.98,1592.6,12
2026-09-18 00:09:14,cocoscrypto,1604.0022,1584.0018,35
2026-09-18 00:09:14,cryptomktpro,1616.1122,1571.6673,33
2026-09-18 00:09:14,decrypto,1608.5854,1549.6821,30
2026-09-18 00:09:14,eldoradop2p,1617.8598,1567.4273,31
2026-09-18 00:09:14,eluter,1622.2866,1567.9173,33
2026-09-18 00:09:14,fiwind,1595.0,1584.0,34
2026-09-18 00:09:14,kucoinp2p,1599.0,1582.15,11
2026-09-18 00:09:14,lemoncash,1618.7332,1538.0043,34
2026-09-18 00:09:14,lemoncashp2p,1612.835,1565.293,34
2026-09-18 00:09:14,letsbit,1611.0443,1574.9678,10
2026-09-18 00:09:14,mexc,1663.7779,1592.8287,32
2026-09-18 00:09:14,mexcp2p,1598.5,1587.02,10
2026-09-18 00:09:14,nexo,1603.7667,1584.6205,32
2026-09-18 00:09:14,okexp2p,1594.0,1591.0,51
2026-09-18 00:09:14,peanut,1621.15,1563.82,35
2026-09-18 00:09:14,ripio,1613.36,1568.4384,13
2026-09-18 00:09:14,ripioexchange,1600.8645,1584.5375,51
2026-09-18 00:09:14,saldo,1594.8174,1565.3959,30
2026-09-18 00:09:14,satoshitango,1628.5533,1583.5386,26
2026-09-18 00:09:14,tiendacrypto,1611.478,1573.262,32
2026-09-18 00:09:14,vitawallet,1614.4034,1568.0456,31
2026-09-18 00:09:14,wallbit,1638.0792,1568.06,18
2026-09-18 00:28:14,astropay,1630.1671,1562.4268,37
2026-09-18 00:28:14,belo,1605.0,1585.0,37
2026-09-18 00:28:14,binance,1596.1962,1577.7668,48
2026-09-18 00:28:14,binancep2p,1594.99,1587.65,81
2026-09-18 00:28:14,bingxp2p,1596.0,1591.55,67
2026-09-18 00:28:14,bitgetp2p,1601.88,1591.42,40
2026-09-18 00:28:14,bitsoalpha,1602.0751,1581.6031,46
2026-09-18 00:28:14,buenbit,1621.3898,1581.7766,0
2026-09-18 00:28:14,bybit,1614.7057,1570.1293,21
2026-09-18 00:28:14,bybitp2p,1593.98,1592.6,39
2026-09-18 00:28:14,cocoscrypto,1604.0022,1584.0018,35
2026-09-18 00:28:14,cryptomktpro,1616.1122,1568.9274,34
2026-09-18 00:28:14,decrypto,1608.5854,1549.6821,30
2026-09-18 00:28:14,eldoradop2p,1617.8598,1567.4273,31
2026-09-18 00:28:14,eluter,1622.2866,1567.9173,34
2026-09-18 00:28:14,fiwind,1595.0,1584.0,34
2026-09-18 00:28:14,kucoinp2p,1599.0,1582.15,41
2026-09-18 00:28:14,lemoncash,1618.7105,1537.9828,34
2026-09-18 00:28:14,lemoncashp2p,1616.895,1565.362,34
2026-09-18 00:28:14,letsbit,1611.2554,1575.1661,10
2026-09-18 00:28:14,mexc,1663.7779,1592.8287,33
2026-09-18 00:28:14,mexcp2p,1598.5,1587.02,23
2026-09-18 00:28:14,nexo,1602.2495,1584.6736,33
2026-09-18 00:28:14,okexp2p,1594.0,1591.0,20
2026-09-18 00:28:14,peanut,1621.15,1563.82,36
2026-09-18 00:28:14,ripio,1612.76,1566.329,13
2026-09-18 00:28:14,ripioexchange,1603.578,1587.423,51
2026-09-18 00:28:14,saldo,1594.7824,1565.3432,30
2026-09-18 00:28:14,satoshitango,1628.5533,1583.5386,27
2026-09-18 00:28:14,tiendacrypto,1611.478,1573.262,32
2026-09-18 00:28:14,vitawallet,1614.3872,1568.0299,32
2026-09-18 00:28:14,wallbit,1637.9772,1568.05,18
2026-09-18 00:44:21,astropay,1630.2486,1562.5,29
2026-09-18 00:44:21,belo,1605.0,1585.0,29
2026-09-18 00:44:21,binance,1595.5958,1577.1732,40
2026-09-18 00:44:21,binancep2p,1594.65,1587.66,49
2026-09-18 00:44:21,bingxp2p,1598.0,1591.55,67
2026-09-18 00:44:21,bitgetp2p,1601.85,1591.4,17
2026-09-18 00:44:21,bitsoalpha,1602.3568,1582.279,39
2026-09-18 00:44:21,buenbit,1621.1095,1581.4969,52
2026-09-18 00:44:21,bybit,1614.7057,1570.1293,14
2026-09-18 00:44:21,bybitp2p,1593.98,1592.6,0
2026-09-18 00:44:21,cocoscrypto,1604.0022,1584.0018,27
2026-09-18 00:44:21,cryptomktpro,1615.8493,1570.9947,26
2026-09-18 00:44:21,decrypto,1608.5854,1549.6821,22
2026-09-18 00:44:21,eldoradop2p,1617.8598,1567.4273,23
2026-09-18 00:44:21,eluter,1621.6763,1567.4257,25
2026-09-18 00:44:21,fiwind,1595.0,1584.0,26
2026-09-18 00:44:21,kucoinp2p,1637.7,1578.0,3
2026-09-18 00:44:21,lemoncash,1618.7348,1538.0059,26
2026-09-18 00:44:21,lemoncashp2p,1608.775,1565.559,85
2026-09-18 00:44:21,letsbit,1611.2552,1575.1661,2
2026-09-18 00:44:21,mexc,1663.7779,1592.8287,24
2026-09-18 00:44:21,mexcp2p,1598.5,1587.02,9
2026-09-18 00:44:21,nexo,1602.5433,1584.9959,25
2026-09-18 00:44:21,okexp2p,1594.0,1591.0,31
2026-09-18 00:44:21,peanut,1621.15,1563.82,28
2026-09-18 00:44:21,ripio,1612.51,1567.5728,5
2026-09-18 00:44:21,ripioexchange,1602.8745,1583.642,43
2026-09-18 00:44:21,saldo,1594.6632,1564.9554,22
2026-09-18 00:44:21,satoshitango,1628.3171,1583.309,18
2026-09-18 00:44:21,tiendacrypto,1611.478,1573.262,25
2026-09-18 00:44:21,vitawallet,1613.9134,1567.5698,24
2026-09-18 00:44:21,wallbit,1637.4672,1568.1,10
2026-09-18 00:52:33,astropay,1630.2486,1562.5,46
2026-09-18 00:52:33,belo,1605.0,1585.0,46
2026-09-18 00:52:33,binance,1595.5958,1577.1732,57
2026-09-18 00:52:33,binancep2p,1594.65,1587.75,6
2026-09-18 00:52:33,bingxp2p,1598.0,1592.0,16
2026-09-18 00:52:33,bitgetp2p,1601.8,1591.42,10
2026-09-18 00:52:33,bitsoalpha,1602.9503,1581.792,56
2026-09-18 00:52:33,buenbit,1621.9103,1582.2761,9
2026-09-18 00:52:33,bybit,1614.7057,1570.1293,17
2026-09-18 00:52:33,bybitp2p,1593.97,1592.6,10
2026-09-18 00:52:33,cocoscrypto,1604.0022,1584.0018,44
2026-09-18 00:52:33,cryptomktpro,1615.7988,1569.1549,43
2026-09-18 00:52:33,decrypto,1608.5854,1549.6821,38
2026-09-18 00:52:33,eldoradop2p,1617.8598,1565.6055,40
2026-09-18 00:52:33,eluter,1621.6763,1567.3274,42
2026-09-18 00:52:33,fiwind,1595.0,1584.0,43
2026-09-18 00:52:33,kucoinp2p,1637.7,1578.0,20
2026-09-18 00:52:33,lemoncash,1618.717,1537.9889,42
2026-09-18 00:52:33,lemoncashp2p,1616.895,1565.6575,43
2026-09-18 00:52:33,letsbit,1611.2554,1575.1661,19
2026-09-18 00:52:33,mexc,1663.7779,1592.8287,41
2026-09-18 00:52:33,mexcp2p,1598.5,1587.02,8
2026-09-18 00:52:33,nexo,1602.7628,1585.213,42
2026-09-18 00:52:33,okexp2p,1594.0,1591.0,29
2026-09-18 00:52:33,peanut,1621.15,1563.82,45
2026-09-18 00:52:33,ripio,1613.02,1566.339,22
2026-09-18 00:52:33,ripioexchange,1602.4725,1584.438,0
2026-09-18 00:52:33,saldo,1594.6785,1565.0303,39
2026-09-18 00:52:33,satoshitango,1628.3648,1583.3554,36
2026-09-18 00:52:33,tiendacrypto,1611.478,1573.262,41
2026-09-18 00:52:33,vitawallet,1613.9134,1567.5698,41
2026-09-18 00:52:33,wallbit,1637.4672,1568.02,27
2026-09-18 01:09:08,astropay,1630.2486,1562.5,27
2026-09-18 01:09:08,belo,1606.0,1585.0,27
2026-09-18 01:09:08,binance,1595.5958,1577.1732,37
2026-09-18 01:09:08,binancep2p,1594.79,1588.01,15
2026-09-18 01:09:08,bingxp2p,1598.0,1592.0,66
2026-09-18 01:09:08,bitgetp2p,1601.8,1591.42,3
2026-09-18 01:09:08,bitsoalpha,1602.5681,1582.3784,37
2026-09-18 01:09:08,buenbit,1621.61,1581.9864,50
2026-09-18 01:09:08,bybit,1614.7057,1570.1293,32
2026-09-18 01:09:08,bybitp2p,1593.97,1592.6,32
2026-09-18 01:09:08,cocoscrypto,1604.0022,1584.0018,24
2026-09-18 01:09:08,cryptomktpro,1615.8999,1570.7573,23
2026-09-18 01:09:08,decrypto,1608.5854,1549.6821,19
2026-09-18 01:09:08,eldoradop2p,1617.8598,1565.6055,20
2026-09-18 01:09:08,eluter,1621.6763,1567.9005,23
2026-09-18 01:09:08,fiwind,1595.0,1584.0,23
2026-09-18 01:09:08,kucoinp2p,1637.7,1578.0,31
2026-09-18 01:09:08,lemoncash,1618.7753,1538.0444,23
2026-09-18 01:09:08,lemoncashp2p,1618.925,1565.6575,23
2026-09-18 01:09:08,letsbit,1611.2554,1575.1661,0
2026-09-18 01:09:08,mexc,1663.7779,1592.8287,21
2026-09-18 01:09:08,mexcp2p,1598.5,1587.02,14
2026-09-18 01:09:08,nexo,1602.427,1584.8809,22
2026-09-18 01:09:08,okexp2p,1594.0,1591.0,7
2026-09-18 01:09:08,peanut,1621.15,1563.82,26
2026-09-18 01:09:08,ripio,1612.5,1566.9558,3
2026-09-18 01:09:08,ripioexchange,1603.0755,1584.04,41
2026-09-18 01:09:08,saldo,1594.5316,1564.8603,19
2026-09-18 01:09:08,satoshitango,1627.1882,1582.2113,17
2026-09-18 01:09:08,tiendacrypto,1611.478,1573.262,21
2026-09-18 01:09:08,vitawallet,1613.9781,1567.6325,21
2026-09-18 01:09:08,wallbit,1637.4672,1568.02,8
2026-09-18 01:28:11,astropay,1630.2486,1562.5,39
2026-09-18 01:28:11,belo,1606.0,1584.0,39
2026-09-18 01:28:11,binance,1595.9961,1577.5689,50
2026-09-18 01:28:11,binancep2p,1594.85,1588.01,28
2026-09-18 01:28:11,bingxp2p,1598.86,1592.0,69
2026-09-18 01:28:11,bitgetp2p,1599.99,1591.42,29
2026-09-18 01:28:11,bitsoalpha,1602.9604,1581.1956,49
2026-09-18 01:28:11,buenbit,1621.67,1582.0364,2
2026-09-18 01:28:11,bybit,1614.7057,1570.1293,59
2026-09-18 01:28:11,bybitp2p,1593.97,1592.6,18
2026-09-18 01:28:11,cocoscrypto,1604.0022,1584.0018,36
2026-09-18 01:28:11,cryptomktpro,1616.1122,1571.1925,35
2026-09-18 01:28:11,decrypto,1608.5854,1549.6821,31
